Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro,378,282,0:00:33,3,66.67%,10.85%,$0.00 
/en/product/digits-touchscreen-gloves/dark-gray-l,376,288,0:00:35,5,20.00%,22.07%,$8.13 
/en/product/iglaze-hardshell-case/stealth-clear-for-macbook-air-retina-13-inch-2020/,373,307,0:01:04,271,47.60%,47.45%,$0.38 
/en/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-air-10-9-inch-4th-gen/,373,289,0:01:40,257,56.20%,49.33%,$2.85 
/en/product/versacover-case-with-folding-cover/sienna-orange-for-ipad-pro-11-inch-1st-2nd-gen/,372,285,0:00:57,247,36.44%,39.78%,$2.03 
/tw/product/iglaze-slim-hardshell-case/dahlia-pink-for-iphone-13/?ref=device:617:iphone 13,372,300,0:00:40,26,48.15%,20.43%,$0.00 
/en/product/iglaze-slim-hardshell-case/dahlia-pink-for-iphone-13-pro?ref=device:618:iphone 13 pro,370,242,0:00:09,3,0.00%,5.41%,$0.39 
/en/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13?ref=device:617:iphone 13,370,264,0:00:15,1,0.00%,7.30%,$0.15 
/tw/product/snapto-universal-car-mount-with-wireless-charging/black?ref=category:12,370,327,0:01:30,3,0.00%,25.41%,$0.11 
/en/product/airfoil-pro/black-clearglossy-for-iphone-13/?ref=device:618:iphone 13 pro,369,319,0:01:07,42,66.67%,39.84%,$2.06 
/en/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13?ref=device:617:iphone 13,368,278,0:00:14,2,0.00%,8.15%,$0.14 
/tw/product/integra-usb-a-to-lightning-charge-sync-cable-4-ft-1-2-m/golden-rose?ref=category:22,368,259,0:00:29,3,0.00%,9.78%,$1.15 
/tw/product/versacover-case-with-folding-cover/sienna-orange-for-ipad-pro-11-inch-1st-2nd-gen,368,257,0:00:30,5,50.00%,11.41%,$1.47 
/en/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13?ref=device:617:iphone 13,367,249,0:00:17,1,0.00%,14.71%,$0.00 
/tw/product/integra-usb-c-charge-cable-6-6-ft-2-m/titanium-gray?ref=category:43,365,318,0:00:43,2,200.00%,20.00%,$1.06 
/tw/product/versacover-case-with-folding-cover/savanna-beige-for-ipad-pro-11-inch-3rd-1st-gen?ref=category:58,365,306,0:01:21,3,50.00%,26.58%,$0.42 
/en/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro-max/?model=199,361,279,0:00:35,18,66.67%,14.96%,$0.75 
/tw/product/iglaze-slim-hardshell-case/blush-pink-for-iphone-8-7/,359,276,0:00:19,241,13.17%,18.94%,$0.15 
/tw/product/helios-lite-slim-laptop-backpack/slate-black?ref=category:10,358,239,0:00:35,0,0.00%,8.94%,$0.00 
/en/product/overture-case-with-detachable-magnetic-wallet/luna-pink-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,356,281,0:01:15,25,60.00%,23.03%,$2.80 
/tw/product/muse-13-slim-fit-sleeve/caramel-brown-2021?ref=category:36,356,275,0:00:52,2,0.00%,16.01%,$0.99 
/en/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13?ref=device:617:iphone 13,351,242,0:00:13,0,0.00%,12.54%,$0.86 
/en/product/versacover-case-with-folding-cover/sienna-orange-for-ipad-air-10-9-inch-4th-gen/?model=180,351,296,0:00:38,25,36.00%,21.08%,$0.67 
/tw/product/airfoil-pro/black-clearglossy-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,351,296,0:01:32,29,75.86%,35.90%,$0.67 
/tw/product/sette-q-dual-wireless-charging-pad-with-adapter/nordic-gray/?ref=category:46,351,303,0:02:30,209,75.60%,62.68%,$0.35 
/tw/product/helios-laptop-backpack/charcoal-black/,350,288,0:00:50,238,34.87%,36.57%,$0.00 
"/tw/product/versacover-case-with-folding-cover/sienna-orange-for-ipad-air-10-9-inch-4th-gen/?ref=device:594,598,584,597:ipad air (10.9-inch, 4th gen)",350,297,0:01:29,52,73.08%,46.29%,$0.23 
/en/product/muse-13-slim-fit-sleeve/caramel-brown-2021,345,240,0:00:40,5,33.33%,17.39%,$3.35 
/tw/product/helios-mini-backpack/olive-green?ref=category:10,345,243,0:00:43,2,0.00%,13.62%,$0.00 
/en/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro,344,265,0:00:24,2,0.00%,11.92%,$0.00 
/tw/product/arx-slim-hardshell-case/mirage-black-for-iphone-13-mini/?ref=device:620:iphone 13 mini,344,296,0:00:53,9,77.78%,23.55%,$0.00 
/en/product/muse-13-slim-fit-sleeve/seashell-white?ref=category:36,343,260,0:00:33,8,14.29%,14.58%,$3.22 
/en/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-129-inch-5th-gen/?model=191,343,269,0:01:35,40,77.50%,38.78%,$3.42 
/en/product/clearguard-keyboard-protector/us-layout-for-macbook-pro-17-inch/,340,282,0:00:50,250,30.28%,32.94%,$1.38 
/en/product/muto-three-way-convertible-backpack/coastal-beige/,340,271,0:01:26,206,58.25%,45.00%,$1.92 
/en/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13,337,204,0:00:24,0,0.00%,15.13%,$0.00 
/en/product/muto-three-way-convertible-backpack/slate-gray/,336,281,0:02:05,244,58.54%,54.46%,$0.00 
/en/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-12-9-inch-3rd-4th-gen/,336,257,0:01:31,215,41.86%,41.67%,$2.12 
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,335,218,0:00:24,4,100.00%,13.13%,$0.96 
/en/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13,334,242,0:00:08,3,0.00%,6.59%,$0.00 
/tw/product/muse-13-slim-fit-sleeve/jet-black?ref=category:36,333,281,0:00:46,1,0.00%,19.22%,$0.48 
/en/product/muse-13-slim-fit-sleeve/caramel-brown-2021?ref=category:36,332,220,0:00:57,3,100.00%,16.57%,$1.94 
/tw/product/helios-lite-slim-laptop-backpack/sky-blue?ref=category:10,331,207,0:00:26,1,0.00%,6.34%,$0.00 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-129-inch-5th-gen/?model=191,330,254,0:01:18,39,69.23%,35.76%,$0.00 
/en/product/iglaze-slim-hardshell-case/dahlia-pink-for-iphone-13?ref=device:617:iphone 13,329,252,0:00:10,1,0.00%,8.81%,$0.00 
/en/product/lounge-q-wireless-charging-stand/nordic-gray/,328,276,0:02:01,249,58.63%,55.18%,$0.87 
/en/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro/?ref=device:618:iphone 13 pro,327,266,0:00:57,23,52.17%,21.71%,$1.08 
/en/product/arx-clear-slim-hardshell-case/clear-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,326,276,0:01:23,33,72.73%,39.57%,$0.87 
/en/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro-max/?model=199,325,255,0:00:39,19,57.89%,18.15%,$0.00 
"/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-air-10-9-inch-4th-gen?ref=device:594,598,584,597:ipad air (10.9-inch, 4th gen)",325,212,0:00:33,8,12.50%,15.08%,$0.32 
/en/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro/?model=198,324,245,0:00:21,30,54.84%,13.58%,$0.00 
/tw/product/arx-clear-slim-hardshell-case/clear-for-iphone-13-mini/?ref=device:620:iphone 13 mini,322,252,0:01:13,52,42.31%,31.37%,$0.17 
/tw/product/arx-clear-slim-hardshell-case/clear-for-iphone-13/?ref=device:617:iphone 13,319,278,0:01:07,10,70.00%,19.75%,$0.57 
/tw/product/helios-mini-backpack/jet-black?ref=category:10,319,241,0:00:39,2,50.00%,13.79%,$0.00 
/tw/product/overture-case-with-detachable-magnetic-wallet/jet-black-for-iphone-13-mini/?ref=device:620:iphone 13 mini,319,273,0:01:36,35,52.78%,22.57%,$0.00 
/en/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro,318,241,0:00:22,2,50.00%,8.49%,$0.21 
/en/product/snapto-magnetic-car-mount-with-wireless-charging/black/,317,283,0:01:16,252,69.05%,65.62%,$0.32 
/en/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13,316,209,0:00:15,0,0.00%,7.28%,$0.00 
/tw/product/versacover-case-with-folding-cover/metro-black-for-ipad-mini-5th-gen/,316,261,0:00:47,237,43.88%,48.73%,$0.00 
/en/product/ivisor-ag-anti-glare-screen-protector/black-clear-matte-for-iphone-13/?ref=device:618:iphone 13 pro,314,257,0:01:26,27,65.52%,36.31%,$3.88 
/tw/product/vegan-leather-badge-id-holder/onyx-black/,314,232,0:01:14,186,33.87%,37.58%,$0.00 
/tw/product/dual-sided-badge-holder/jet-black/,313,246,0:02:27,209,67.94%,60.06%,$0.00 
/en/product/overture-vegan-leather-wallet-case/charcoal-black-for-iphone-xr/,312,252,0:00:37,218,31.05%,34.29%,$0.85 
/tw/product/overture-case-with-detachable-magnetic-wallet/luna-pink-for-iphone-13-pro?ref=device:618:iphone 13 pro,310,196,0:00:32,4,50.00%,7.42%,$0.53 
/tw/product/vegan-leather-badge-id-holder/metro-black?ref=category:8,310,150,0:00:33,1,0.00%,5.81%,$0.00 
"/en/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-129-inch-5th-gen/?ref=device:605,607,606,608,609:ipad pro 12.9"" (5th generation)",306,257,0:01:38,34,69.44%,42.81%,$4.27 
/en/product/iglaze-hardshell-case/stealth-black-for-macbook-air-retina-13-inch-2020/,304,234,0:00:46,215,54.17%,51.97%,$0.96 
/en/product/progeo-usb-c-wall-charger-42-w/us-version/,304,238,0:00:37,34,55.88%,20.07%,$4.48 
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-12-12-pro-snapto/?ref=device:592:iphone 12 pro,304,251,0:01:11,26,61.54%,28.95%,$0.20 
/tw/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,304,201,0:00:26,1,0.00%,7.24%,$0.51 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-12-12-pro-snapto/?ref=device:589:iphone 12,304,240,0:00:27,19,63.16%,21.38%,$0.00 
/tw/product/overture-case-with-detachable-magnetic-wallet/jet-black-for-iphone-13-pro?ref=device:618:iphone 13 pro,303,202,0:00:39,3,33.33%,12.87%,$1.29 
/en/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-12-12-pro-snapto/,302,242,0:01:18,209,46.41%,47.68%,$0.19 
/en/product/muto-three-way-convertible-backpack/coastal-beige/?ref=category:10,302,262,0:00:41,28,57.14%,16.23%,$2.18 
/en/product/arx-clear-slim-hardshell-case/clear-for-iphone-13/,300,266,0:01:00,13,46.15%,19.33%,$0.31
