Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/tw/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,"1,075",843,0:01:18,185,55.38%,29.21%,$0.63 
/tw/product/iglaze-xt-clear-case/clear-for-iphone-13/?ref=device:617:iphone 13,"1,060",889,0:01:45,114,65.52%,40.19%,$0.25 
/en/product/ivisor-ag-anti-glare-screen-protector/black-clear-matte-for-ipad-5th-6th-gen/,967,817,0:00:58,764,24.16%,27.30%,$1.88 
"/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-11-inch-3rd-1st-gen/?ref=device:610,611,612,613:ipad pro 11"" (3rd generation)",967,817,0:01:45,113,69.91%,41.16%,$0.17 
"/tw/product/versacover-case-with-folding-cover/savanna-beige-for-ipad-pro-11-inch-3rd-1st-gen/?ref=device:610,611,612,613:ipad pro 11"" (3rd generation)",960,813,0:02:09,137,71.22%,45.73%,$0.42 
/tw/product/airfoil-pro/black-clearglossy-for-iphone-13/?ref=device:618:iphone 13 pro,952,759,0:01:45,82,59.76%,33.09%,$0.80 
/en/product/ionslim-5k-usb-c-portable-battery/titanium-gray/,951,828,0:01:57,779,62.61%,61.09%,$3.96 
/en/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro/?ref=device:618:iphone 13 pro,926,733,0:00:43,85,68.24%,25.38%,$1.15 
/en/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-mini/?ref=device:620:iphone 13 mini,916,763,0:01:38,608,64.80%,57.64%,$0.00 
/en/product/iongo-5k-duo-portable-battery-with-built-in-lightning-and-usb-c-cables/fossil-gray/,903,720,0:01:25,638,54.84%,52.27%,$0.77 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,901,663,0:00:40,51,54.90%,16.09%,$0.68 
"/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-air-10-9-inch-4th-gen/?ref=device:594,598,584,597:ipad air (10.9-inch, 4th gen)",837,727,0:02:01,102,61.54%,47.31%,$0.44 
/tw/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro-max/,831,633,0:00:52,515,22.72%,28.28%,$0.00 
/tw/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro,829,594,0:00:12,4,0.00%,4.46%,$0.08 
/tw/product/altra-slim-hardshell-case-with-strap/rose-pink-for-iphone-13-pro/?ref=device:618:iphone 13 pro,820,653,0:00:58,83,62.65%,23.41%,$0.15 
/tw/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13/?ref=device:617:iphone 13,793,600,0:01:01,79,58.23%,23.20%,$0.15 
/tw/product/overture-case-with-detachable-magnetic-wallet/jet-black-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,790,630,0:01:40,133,61.65%,32.41%,$0.87 
/en/product/arx-slim-hardshell-case/mirage-black-for-iphone-13/,780,645,0:00:48,51,52.94%,25.77%,$0.38 
/tw/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro,779,559,0:00:24,0,0.00%,7.19%,$0.52 
/tw/product/otto-q-wireless-charging-pad/nordic-gray-epp?ref=category:46,767,690,0:01:24,8,250.00%,26.73%,$2.23 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-air-10-9-inch-4th-gen?model=180,764,451,0:00:25,6,33.33%,12.70%,$0.00 
/tw/product/pebbo-for-airpods-pro/mint-green/,759,590,0:01:04,490,46.83%,46.90%,$0.10 
