category,productCategory,sku,model
Bags,Travels,99MO099041,Costa - Granite Gray
Bags,Travels,99MO099531,Costa - Bahama Blue
Bags,Briefcases,99MO100261,Lula - Savanna Beige
Bags,Briefcases,99MO100531,Lula - Bahama Blue
Bags,Briefcases,99MO100601,Lula - Olive Green
Bags,Laptops Bag,99MO104052,Pluma for MacBook Pro/Air 13 - Herringbone Gray
Bags,Accessory,99MO104054,Pluma Pouch - Herringbone Gray
Bags,Laptops Bag,99MO104055,Pluma Laptop Sleeve 15-/16-inch - Herringbone Gray
Bags,Laptops Bag,99MO104302,Pluma for MacBook Pro/Air 13 - Carnation Pink
Bags,Accessory,99MO104305,Pluma Pouch - Carnation Pink
Bags,Laptops Bag,99MO104531,Pluma for Laptops - Denim Blue
Bags,Laptops Bag,99MO104534,Pluma for MacBook Pro/Air 13 - Denim Blue
Bags,Accessory,99MO104535,Pluma Pouch - Denim Blue
Bags,Totes,99MO108001,Aria - Slate Black
Bags,Totes,99MO108011,Aria - Ceramic Gray
Bags,Totes,99MO108012,Aria - Mountain Grey
Bags,Totes,99MO108532,Aria - Bahama Blue
Bags,Totes,99MO108741,Aria - Olive Green
Bags,Totes,99MO108811,Aria - Amber Orange
Bags,Totes,99MO109001,Verana - Slate Black
Bags,Backpacks,99MO110001,Tego Backpack - Charcoal Black
Bags,Slingpacks,99MO110002,Tego Crossbody Sling - Charcoal Black
Bags,Messengers,99MO110004,Tego Sling Messenger - Charcoal Black
Bags,Slingpacks,99MO110071,Tego Crossbody Sling - Galaxy Black
Bags,Slingpacks,99MO110072,Tego Slingpack - Galaxy Black
Bags,Backpacks,99MO110261,Tego Backpack - Stone Gray
Bags,Slingpacks,99MO110262,Tego Crossbody Sling - Stone Gray
Bags,Slingpacks,99MO110263,Tego Slingpack - Stone Gray
Bags,Messengers,99MO110264,Tego Sling Messenger - Stone Gray
Bags,Slingpacks,99MO110601,Tego Slingpack - Olive Green
Bags,Messengers,99MO110731,Tego Sling Messenger - Vintage Brown
Bags,Backpacks,99MO112001,Hexa - Midnight Black
Bags,Backpacks,99MO112601,Hexa - Forest Green
Bags,Backpacks,99MO112711,Hexa - Khaki Brown
Bags,Briefcases,99MO118001,Treya - Jet Black
Bags,Briefcases,99MO118002,Treya Lite - Jet Black
Bags,Accessory,99MO118003,Treya Briefcase - Jet Black
Bags,Accessory,99MO118004,Treya Shoulder Strap - Jet Black
Bags,Accessory,99MO118012,Treya Shoulder Strap - Falcon Gray
Bags,Accessory,99MO118321,Treya Clutch - Burgundy Red
Bags,Accessory,99MO118322,Treya Shoulder Strap - Burgundy Red
Bags,Accessory,99MO118721,Treya Clutch - Canary Yellow
Bags,Accessory,99MO118722,Treya Shoulder Strap - Canary Yellow
Bags,Accessory,99MO118731,Treya Clutch - Oak Brown
Bags,Briefcases,99MO118751,Treya Lite - Caramel Brown
Bags,Accessory,99MO118752,Treya Briefcase - Caramel Brown
Bags,Accessory,99MO118753,Treya Shoulder Strap - Caramel Brown
Bags,Accessory,99MO118811,Treya Clutch - Vermillion Orange
Bags,Accessory,99MO118812,Treya Shoulder Strap - Vermillion Orange
Bags,Messengers,99MO119001,Carta - Herringbone Black
Bags,Messengers,99MO119002,Carta Water Bottle Holder - Herringbone Black
Bags,Messengers,99MO119731,Carta - Vintage Brown
Bags,Messengers,99MO119732,Carta Water Bottle Holder - Vintage Brown
Bags,Messengers,99MO120541,Captus - Denim Blue
Bags,Messengers,99MO120741,Captus - Sandstone Beige
Bags,Slingpacks,99MO125001,Aro - Midnight Black
Bags,Slingpacks,99MO125002,Aro Mini - Midnight Black
Bags,Slingpacks,99MO125750,Aro - Caramel Brown
Bags,Slingpacks,99MO125751,Aro Mini - Caramel Brown
Bags,Backpacks,99MO130001,Muto - Slate Gray
Bags,Backpacks,99MO130301,Muto - Coastal Beige
Bags,Accessory,99MO095324,ID/Badge Holder - Burgundy Red
Bags,Accessory,99MO100002,Vegan Leather Strap - Classic Black
Bags,Accessory,99MO118011,Treya Clutch - Falcon Gray
Bags,Accessory,99MO118732,Treya Shoulder Strap - Oak Brown
Bags,Backpacks,99MO087731,Helios - Cocoa Brown
Bags,Backpacks,99MO094074,Arcus Camera Insert - Beige
Bags,Briefcases,99MO100001,Lula - Slate Black
Bags,Briefcases,99MO100302,Lula - Macaron Pink
